subject	fissure	mask	space	distances
sub-54	1	cerebellar_mask	DeCon	1.827746118906672
sub-55	1	cerebellar_mask	DeCon	2.101713198351015
sub-56	1	cerebellar_mask	DeCon	2.2007891400243627
sub-57	1	cerebellar_mask	DeCon	2.101949735625042
sub-58	1	cerebellar_mask	DeCon	2.1438903064149133
sub-59	1	cerebellar_mask	DeCon	2.074064568956472
sub-60	1	cerebellar_mask	DeCon	1.9713957136834779
sub-61	1	cerebellar_mask	DeCon	4.374520685584876
sub-62	1	cerebellar_mask	DeCon	1.9489847786530459
sub-63	1	cerebellar_mask	DeCon	2.2339347334860267
sub-64	1	cerebellar_mask	DeCon	2.243026632010005
sub-65	1	cerebellar_mask	DeCon	2.067515525703074
sub-66	1	cerebellar_mask	DeCon	1.9028898247367378
sub-67	1	cerebellar_mask	DeCon	1.8637665696663557
sub-68	1	cerebellar_mask	DeCon	3.5055268739774235
sub-69	1	cerebellar_mask	DeCon	1.8995841641321665
sub-70	1	cerebellar_mask	DeCon	1.7385616570092304
sub-71	1	cerebellar_mask	DeCon	1.889138259289207
sub-72	1	cerebellar_mask	DeCon	1.9231798213477707
sub-73	1	cerebellar_mask	DeCon	1.9961936224076033
sub-74	1	cerebellar_mask	DeCon	1.9793603237107225
sub-75	1	cerebellar_mask	DeCon	2.1365129311898174
sub-76	1	cerebellar_mask	DeCon	2.2115810357955104
sub-77	1	cerebellar_mask	DeCon	2.1569815778492543
sub-78	1	cerebellar_mask	DeCon	1.8306937973680277
sub-79	1	cerebellar_mask	DeCon	1.8636240966475712
sub-80	1	cerebellar_mask	DeCon	2.5625828213236543
sub-01	1	cerebellar_mask	mni_ants	3.0812486216055865
sub-02	1	cerebellar_mask	mni_ants	3.261681521989036
sub-03	1	cerebellar_mask	mni_ants	2.9499416013492374
sub-04	1	cerebellar_mask	mni_ants	3.326403855523721
sub-05	1	cerebellar_mask	mni_ants	3.0833017781620407
sub-06	1	cerebellar_mask	mni_ants	3.3046663596998154
sub-07	1	cerebellar_mask	mni_ants	3.1979425326219237
sub-08	1	cerebellar_mask	mni_ants	3.57625818517447
sub-09	1	cerebellar_mask	mni_ants	3.9544703653111775
sub-10	1	cerebellar_mask	mni_ants	3.6560772765802394
sub-11	1	cerebellar_mask	mni_ants	3.7488772386712457
sub-12	1	cerebellar_mask	mni_ants	3.874251042098867
sub-13	1	cerebellar_mask	mni_ants	3.7743558397770163
sub-14	1	cerebellar_mask	mni_ants	2.9090330780409728
sub-15	1	cerebellar_mask	mni_ants	5.77610791737209
sub-16	1	cerebellar_mask	mni_ants	3.0609364176054785
sub-17	1	cerebellar_mask	mni_ants	3.4070334923048415
sub-18	1	cerebellar_mask	mni_ants	4.870938913039202
sub-19	1	cerebellar_mask	mni_ants	5.176066587052996
sub-20	1	cerebellar_mask	mni_ants	2.7324783422452397
sub-21	1	cerebellar_mask	mni_ants	3.4855342526553406
sub-22	1	cerebellar_mask	mni_ants	3.372488161846344
sub-23	1	cerebellar_mask	mni_ants	3.3768809251621295
sub-24	1	cerebellar_mask	mni_ants	3.260838386459647
sub-25	1	cerebellar_mask	mni_ants	3.1601081115406267
sub-26	1	cerebellar_mask	mni_ants	6.708548739651342
sub-27	1	cerebellar_mask	mni_ants	4.868568809851892
sub-28	1	cerebellar_mask	mni_ants	4.184288162610583
sub-29	1	cerebellar_mask	mni_ants	3.2137913599258168
sub-30	1	cerebellar_mask	mni_ants	4.67682876335195
sub-31	1	cerebellar_mask	mni_ants	2.9485389257753893
sub-32	1	cerebellar_mask	mni_ants	2.7864542125373655
sub-33	1	cerebellar_mask	mni_ants	2.827539570749574
sub-34	1	cerebellar_mask	mni_ants	5.804390595167216
sub-35	1	cerebellar_mask	mni_ants	3.135454733477639
sub-36	1	cerebellar_mask	mni_ants	3.5429101495105804
sub-37	1	cerebellar_mask	mni_ants	3.584197281372033
sub-38	1	cerebellar_mask	mni_ants	3.155392085773983
sub-39	1	cerebellar_mask	mni_ants	3.9619110910416384
sub-40	1	cerebellar_mask	mni_ants	3.876924437571212
sub-41	1	cerebellar_mask	mni_ants	3.5832950420985368
sub-42	1	cerebellar_mask	mni_ants	9.640087143114542
sub-43	1	cerebellar_mask	mni_ants	3.090328242073601
sub-44	1	cerebellar_mask	mni_ants	3.3893116399258085
sub-45	1	cerebellar_mask	mni_ants	4.760037367722798
sub-46	1	cerebellar_mask	mni_ants	3.6704783871005517
sub-47	1	cerebellar_mask	mni_ants	4.683045734590288
sub-48	1	cerebellar_mask	mni_ants	3.2207026604345828
sub-49	1	cerebellar_mask	mni_ants	4.510954072719059
sub-50	1	cerebellar_mask	mni_ants	5.206340496662684
sub-51	1	cerebellar_mask	mni_ants	3.3167605203232595
sub-52	1	cerebellar_mask	mni_ants	3.41160493432982
sub-53	1	cerebellar_mask	mni_ants	4.845907650206881
sub-54	1	cerebellar_mask	mni_ants	3.7117132574214784
sub-55	1	cerebellar_mask	mni_ants	2.976293931326065
sub-56	1	cerebellar_mask	mni_ants	4.503896879141397
